t,breath,hr,eda
39.00,0.3489,68.07,4.3491
39.10,0.4141,68.99,4.3664
39.20,0.4397,69.97,4.3511
39.30,0.4958,69.46,4.3460
39.40,0.5228,69.24,4.3477
39.50,0.5441,68.95,4.3419
39.60,0.6149,69.62,4.3493
39.70,0.6565,69.55,4.3511
39.80,0.7005,72.75,4.3493
39.90,0.7010,72.01,4.3460
40.00,0.7542,72.84,4.3420
40.10,0.7681,71.50,4.3296
40.20,0.8118,73.08,4.3337
40.30,0.8519,72.68,4.3377
40.40,0.8714,73.99,4.3441
40.50,0.9034,74.82,4.3329
40.60,0.9179,74.78,4.3396
40.70,0.9418,73.41,4.3401
40.80,0.9742,73.26,4.3341
40.90,0.9841,75.41,4.3244
41.00,0.9787,74.83,4.3292
41.10,0.9905,74.32,4.3317
41.20,1.0069,74.90,4.3287
41.30,0.9669,74.78,4.3370
41.40,0.9763,75.05,4.3276
41.50,1.0051,75.74,4.3173
41.60,0.9816,74.46,4.3442
41.70,0.9797,73.64,4.3213
41.80,0.9697,75.33,4.3306
41.90,0.9488,72.88,4.3179
42.00,0.9099,73.24,4.3162
42.10,0.9010,73.36,4.3234
42.20,0.8699,73.40,4.3188
42.30,0.8482,72.45,4.3268
42.40,0.7903,72.67,4.3298
42.50,0.7888,71.99,4.3044
42.60,0.7411,71.47,4.3052
42.70,0.7133,72.55,4.3246
42.80,0.6567,71.38,4.3040
42.90,0.6397,69.67,4.3160
43.00,0.5983,72.51,4.9936
43.10,0.5583,70.54,4.9746
43.20,0.5124,71.37,4.9748
43.30,0.4787,70.83,4.9583
43.40,0.4242,71.53,4.9597
43.50,0.3851,71.02,4.9637
43.60,0.3587,70.73,4.9442
43.70,0.3090,68.30,4.9310
43.80,0.2801,68.99,4.9351
43.90,0.2443,68.32,4.9152
44.00,0.1885,67.52,4.9178
44.10,0.1608,66.85,4.8961
44.20,0.1548,66.13,4.9034
44.30,0.1284,66.35,4.8949
44.40,0.0748,66.02,4.8747
44.50,0.0747,64.77,4.8708
44.60,0.0542,66.59,4.8545
44.70,0.0206,65.15,4.8544
44.80,0.0152,66.18,4.8636
44.90,0.0188,64.36,4.8491
45.00,-0.0017,64.66,4.8355
45.10,0.0068,64.78,4.8275
45.20,-0.0124,65.66,4.8105
45.30,0.0188,64.57,4.8219
45.40,-0.0237,66.15,4.8156
45.50,0.0214,66.41,4.8154
45.60,0.0435,66.22,4.7983
45.70,0.0545,65.35,4.7834
45.80,0.0463,66.21,4.7888
45.90,0.0715,66.92,4.7672
46.00,0.1125,65.33,4.7896
46.10,0.1468,67.93,4.7885
46.20,0.1601,66.70,4.7683
46.30,0.2053,67.19,4.7688
46.40,0.2097,67.14,4.7608
46.50,0.2680,68.96,4.7514
46.60,0.3100,68.44,4.7401
46.70,0.3548,68.89,4.7340
46.80,0.3862,69.35,4.7430
46.90,0.3952,69.58,4.7175
47.00,0.4554,69.22,4.7427
47.10,0.5044,69.07,4.7232
47.20,0.5210,70.32,4.7133
47.30,0.5688,70.51,4.7106
47.40,0.6156,71.11,4.6967
47.50,0.6551,72.10,4.6922
47.60,0.7056,72.19,4.6921
47.70,0.7317,73.44,4.6841
47.80,0.7425,72.69,4.6871
47.90,0.7817,72.80,4.6916
48.00,0.8439,74.74,4.6780
48.10,0.8406,75.05,4.6777
48.20,0.8781,76.03,4.6624
48.30,0.9064,74.13,4.6555
48.40,0.9318,74.92,4.6571
48.50,0.9666,75.32,4.6473
48.60,0.9801,75.89,4.6375
48.70,0.9982,74.52,4.6304
48.80,0.9744,75.71,4.6222
48.90,0.9721,76.48,4.6367
49.00,0.9794,74.15,4.6259
49.10,1.0093,75.30,4.6184
49.20,0.9987,75.21,4.6246
49.30,0.9931,75.46,4.6118
49.40,0.9706,73.92,4.6126
49.50,0.9674,75.19,4.6235
49.60,0.9438,74.28,4.6063
49.70,0.9219,75.27,4.5945
49.80,0.9263,73.87,4.5957
49.90,0.8861,74.43,4.6035
50.00,0.8624,73.00,4.5721
50.10,0.8759,73.59,4.5761
50.20,0.8190,73.11,4.5803
50.30,0.7683,74.12,4.5695
50.40,0.7421,71.37,4.5811
50.50,0.7128,72.88,4.5729
50.60,0.6662,72.01,4.5721
50.70,0.6332,70.68,4.5677
50.80,0.5941,68.98,4.5603
50.90,0.5632,69.41,4.5490
51.00,0.5199,69.70,4.5598
51.10,0.5005,68.62,4.5411
51.20,0.4644,69.75,4.5503
51.30,0.3967,68.82,4.5503
51.40,0.3758,69.05,4.5409
51.50,0.3224,66.74,4.5298
51.60,0.3075,66.63,4.5285
51.70,0.2469,66.07,4.5277
51.80,0.2208,66.19,4.5232
51.90,0.1807,65.88,4.5255
52.00,0.1634,66.10,4.5242
52.10,0.1077,64.98,4.5150
52.20,0.1175,64.75,4.5037
52.30,0.0813,65.67,4.5108
52.40,0.0588,63.71,4.5183
52.50,0.0244,64.83,4.5176
52.60,0.0369,64.69,4.5060
52.70,0.0042,63.83,4.5099
52.80,0.0214,62.71,4.5002
52.90,-0.0120,63.92,4.5059
53.00,-0.0044,63.67,4.4961
53.10,-0.0061,64.06,4.4924
53.20,0.0218,65.30,4.4893
53.30,0.0314,64.78,4.5001
53.40,0.0207,64.03,4.4849
53.50,0.0226,63.80,4.4808
53.60,0.0662,64.10,4.4831
53.70,0.0415,64.31,4.4759
53.80,0.0721,63.24,4.4649
53.90,0.1152,66.87,4.4710
54.00,0.1337,66.34,4.4680
54.10,0.1636,65.37,4.4682
54.20,0.1847,66.65,4.4765
54.30,0.2444,66.31,4.4594
54.40,0.2469,65.67,4.4677
54.50,0.2993,68.01,4.4665
54.60,0.3176,66.91,4.4642
54.70,0.3571,68.62,4.4427
54.80,0.4242,67.69,4.4464
54.90,0.4391,69.34,4.4691
55.00,0.4758,68.59,4.4325
55.10,0.5358,69.30,4.4597
55.20,0.5523,68.58,4.4386
55.30,0.6102,71.06,4.4320
55.40,0.6169,70.93,4.4285
55.50,0.6654,71.14,4.4429
55.60,0.6966,72.11,4.4397
55.70,0.7226,72.24,4.4474
55.80,0.7880,71.75,4.4159
55.90,0.8063,71.57,4.4375
56.00,0.8295,72.74,4.4108
56.10,0.8719,72.79,4.4117
56.20,0.8992,73.94,4.4360
56.30,0.9124,73.06,4.4121
56.40,0.9284,73.90,4.4209
56.50,0.9741,73.37,4.4202
56.60,0.9876,74.34,4.4238
56.70,0.9725,73.68,4.3995
56.80,1.0012,73.57,4.4063
56.90,0.9988,74.97,4.4130
57.00,1.0074,73.99,4.4206
57.10,1.0114,75.05,4.3998
57.20,0.9989,75.21,4.4080
57.30,0.9906,75.07,4.4134
57.40,0.9835,73.82,4.3983
57.50,0.9637,76.12,4.8817
57.60,0.9645,74.99,4.8444
57.70,0.9340,74.55,4.8463
57.80,0.9371,75.78,4.8338
57.90,0.8671,74.95,4.8318
58.00,0.8724,74.65,4.8304
58.10,0.8448,73.63,4.8042
58.20,0.7855,74.00,4.8182
58.30,0.7801,73.02,4.8005
58.40,0.7717,73.00,4.8148
58.50,0.7306,71.29,4.7823
58.60,0.6737,71.83,4.7821
58.70,0.6451,71.34,4.8075
58.80,0.6058,71.34,4.7797
58.90,0.5782,70.05,4.7860
59.00,0.5304,70.73,4.7641
59.10,0.4713,68.41,4.7465
59.20,0.4573,69.64,4.7566
59.30,0.3843,68.62,4.7466
59.40,0.3579,69.20,4.7369
59.50,0.3443,68.64,4.7387
59.60,0.2944,67.89,4.7342
59.70,0.2735,67.36,4.7279
59.80,0.2317,68.64,4.7181
59.90,0.2076,68.31,4.7216
60.00,0.1882,66.84,4.7007
60.10,0.1533,66.95,4.7233
60.20,0.1265,65.11,4.6940
60.30,0.0968,64.73,4.7026
60.40,0.0677,65.23,4.6906
60.50,0.0577,64.10,4.6869
60.60,0.0525,64.70,4.6973
60.70,0.0366,65.07,4.6835
60.80,0.0196,64.88,4.6693
60.90,0.0184,65.75,4.6638
61.00,0.0268,65.70,4.6811
61.10,0.0089,63.85,4.6595
61.20,-0.0085,64.25,4.6588
61.30,0.0136,65.92,4.6374
61.40,0.0400,64.84,4.6492
61.50,0.0285,64.31,4.6474
61.60,0.0342,64.71,4.6345
61.70,0.0510,64.14,4.6396
61.80,0.0700,65.35,4.6334
61.90,0.0776,65.82,4.6324
62.00,0.1207,65.03,4.6221
62.10,0.1362,66.73,4.6270
62.20,0.1647,66.19,4.6122
62.30,0.1986,65.72,4.6063
62.40,0.2263,65.73,4.6151
62.50,0.2482,66.06,4.6100
62.60,0.2960,67.20,4.6052
62.70,0.3180,67.42,4.5983
62.80,0.3708,68.80,4.5884
62.90,0.3839,68.44,4.5902
63.00,0.4534,69.22,4.5832
63.10,0.4732,70.46,4.5905
63.20,0.5134,69.00,4.5848
63.30,0.5680,70.08,4.5875
63.40,0.5805,71.26,4.5777
63.50,0.6445,69.57,4.5777
63.60,0.6597,70.38,4.5793
63.70,0.7169,72.15,4.5797
63.80,0.7510,71.12,4.5588
63.90,0.7692,72.30,4.5567
64.00,0.8101,72.79,4.5541
64.10,0.8363,74.26,4.5521
64.20,0.8641,73.12,4.5498
64.30,0.8768,73.64,4.5568
64.40,0.8946,73.68,4.5386
64.50,0.9230,73.18,4.5488
64.60,0.9527,73.36,4.5384
64.70,0.9631,74.69,4.5336
64.80,0.9702,73.31,4.5340
64.90,0.9730,75.30,4.5350
65.00,0.9934,75.40,4.5212
65.10,0.9731,75.16,4.5168
65.20,1.0078,73.37,4.5123
65.30,1.0163,74.04,4.5191
65.40,0.9956,72.80,4.5224
65.50,1.0014,73.07,4.5185
65.60,0.9877,75.21,4.4958
65.70,0.9708,73.84,4.5255
65.80,0.9510,73.64,4.5133
65.90,0.9249,73.83,4.4995
66.00,0.9002,74.03,4.5038
66.10,0.8915,73.16,4.5111
66.20,0.8816,73.64,4.4908
66.30,0.8159,72.68,4.4943
66.40,0.8044,72.23,4.4855
66.50,0.7712,71.71,4.4705
66.60,0.7411,71.02,4.4816
66.70,0.7125,71.21,4.4898
66.80,0.6735,71.68,4.4921
66.90,0.6547,70.36,4.4883
67.00,0.6055,71.93,4.9509
67.10,0.5744,71.92,4.9325
67.20,0.5302,71.54,4.9333
67.30,0.5025,69.54,4.9262
67.40,0.4412,70.24,4.9083
67.50,0.4375,69.69,4.8965
67.60,0.3723,68.85,4.8936
67.70,0.3546,69.44,4.8943
67.80,0.2991,68.86,4.8930
67.90,0.2774,67.41,4.8830
68.00,0.2305,66.97,4.8694
68.10,0.2467,68.20,4.8622
68.20,0.1845,67.21,4.8621
68.30,0.1446,66.62,4.8606
68.40,0.1097,66.43,4.8518
68.50,0.1092,65.47,4.8534
68.60,0.0882,64.87,4.8406
68.70,0.0770,64.35,4.8169
68.80,0.0519,64.97,4.8138
68.90,0.0115,64.08,4.8171
69.00,0.0236,65.04,4.7984
69.10,0.0073,64.55,4.8054
69.20,0.0058,62.72,4.7886
69.30,0.0012,64.13,4.7860
69.40,0.0052,63.89,4.7720
69.50,-0.0051,64.65,4.7738
69.60,0.0055,63.77,4.7702
69.70,0.0245,64.93,4.7661
69.80,0.0306,63.86,4.7509
69.90,0.0383,65.29,4.7634
70.00,0.0635,64.63,4.7637
70.10,0.0695,64.77,4.7565
70.20,0.1052,65.74,4.7324
70.30,0.1132,66.20,4.7244
70.40,0.1440,65.01,4.7353
70.50,0.1616,65.46,4.7422
70.60,0.1542,65.50,4.7184
70.70,0.2247,66.02,4.7173
70.80,0.2482,65.98,4.7240
70.90,0.3150,66.57,4.7065
71.00,0.3354,66.97,4.7107
71.10,0.3704,67.42,4.6869
71.20,0.4110,67.54,4.6950
71.30,0.4404,68.82,4.6999
71.40,0.4496,69.52,4.6853
71.50,0.5177,69.44,4.6985
71.60,0.5398,70.85,4.6790
71.70,0.5712,68.47,4.6854
71.80,0.6284,71.10,4.6653
71.90,0.6629,71.10,4.6570
72.00,0.6924,70.87,4.6670
72.10,0.7114,73.66,4.6428
72.20,0.7535,71.18,4.6524
72.30,0.7982,73.55,4.6459
72.40,0.8268,73.37,4.6463
72.50,0.8310,72.75,4.6396
72.60,0.8550,73.32,4.6385
72.70,0.9114,73.20,4.6077
72.80,0.9048,74.19,4.6270
72.90,0.9401,73.76,4.6272
73.00,0.9582,72.97,4.6261
73.10,0.9636,73.58,4.6086
73.20,0.9805,74.60,4.6165
73.30,0.9776,73.97,4.6108
73.40,0.9994,75.90,4.6144
73.50,1.0139,74.38,4.5989
73.60,0.9887,76.09,4.6043
73.70,1.0070,73.79,4.5809
73.80,0.9788,74.61,4.5992
73.90,0.9910,73.94,4.6060
74.00,0.9677,74.64,4.6042
74.10,0.9564,73.19,4.5690
74.20,0.9218,74.11,4.5825
74.30,0.9459,73.39,4.5777
74.40,0.9057,72.41,4.5908
74.50,0.8949,73.83,4.5727
74.60,0.8642,73.70,4.5734
74.70,0.8415,72.70,4.5627
74.80,0.8040,72.30,4.5617
74.90,0.7888,73.09,4.5711
75.00,0.7500,72.03,4.5622
75.10,0.7322,71.64,4.5546
75.20,0.6840,71.69,4.5452
75.30,0.6708,70.99,4.5539
75.40,0.6231,69.04,4.5421
75.50,0.5919,69.49,4.5444
75.60,0.5360,68.20,4.5503
75.70,0.5321,70.71,4.5424
75.80,0.4657,68.28,4.5343
75.90,0.4397,67.70,4.5301
76.00,0.4146,67.46,4.5228
76.10,0.3727,67.11,4.5221
76.20,0.3355,66.14,4.5209
76.30,0.2960,67.83,4.5195
76.40,0.2512,65.71,4.5264
76.50,0.2285,66.09,4.5135
76.60,0.2130,65.11,4.5276
76.70,0.1900,65.80,4.5191
76.80,0.1381,64.85,4.5159
76.90,0.1266,65.11,4.5041
77.00,0.1128,64.24,4.5129
77.10,0.0906,63.49,4.5131
77.20,0.0778,64.31,4.4884
77.30,0.0511,63.94,4.5087
77.40,0.0245,62.70,4.4882
